date,league,home_team,away_team,home_goals,away_goals,status,season
2024-08-11T00:30:00Z,BSA,Cruzeiro EC,CA Mineiro,0,0,FINISHED,2024
2024-08-11T00:30:00Z,BSA,CR Vasco da Gama,Fluminense FC,2,0,FINISHED,2024
2024-08-11T14:00:00Z,BSA,EC Juventude,Botafogo FR,3,2,FINISHED,2024
2024-08-11T19:00:00Z,BSA,EC Bahia,EC Vitória,2,0,FINISHED,2024
2024-08-11T19:00:00Z,BSA,CR Flamengo,SE Palmeiras,1,1,FINISHED,2024
2024-08-11T19:00:00Z,BSA,São Paulo FC,AC Goianiense,1,0,FINISHED,2024
2024-08-11T22:00:00Z,BSA,SC Internacional,CA Paranaense,2,2,FINISHED,2024
2024-08-14T22:30:00Z,BSA,SC Internacional,EC Juventude,2,1,FINISHED,2024
2024-08-17T19:00:00Z,BSA,CA Mineiro,Cuiabá EC,1,1,FINISHED,2024
2024-08-17T19:00:00Z,BSA,Grêmio FBPA,EC Bahia,0,2,FINISHED,2024
2024-08-17T21:30:00Z,BSA,RB Bragantino,Fortaleza EC,1,2,FINISHED,2024
2024-08-18T00:00:00Z,BSA,Fluminense FC,SC Corinthians Paulista,0,0,FINISHED,2024
2024-08-18T19:00:00Z,BSA,AC Goianiense,SC Internacional,1,0,FINISHED,2024
2024-08-18T19:00:00Z,BSA,Criciúma EC,CR Vasco da Gama,2,2,FINISHED,2024
2024-08-18T19:00:00Z,BSA,SE Palmeiras,São Paulo FC,2,1,FINISHED,2024
2024-08-18T21:30:00Z,BSA,CA Paranaense,EC Juventude,1,2,FINISHED,2024
2024-08-18T21:30:00Z,BSA,Botafogo FR,CR Flamengo,4,1,FINISHED,2024
2024-08-19T23:00:00Z,BSA,EC Vitória,Cruzeiro EC,2,2,FINISHED,2024
2024-08-24T19:00:00Z,BSA,AC Goianiense,EC Juventude,2,1,FINISHED,2024
2024-08-24T21:30:00Z,BSA,SE Palmeiras,Cuiabá EC,5,0,FINISHED,2024
2024-08-25T00:00:00Z,BSA,CA Mineiro,Fluminense FC,0,2,FINISHED,2024
2024-08-25T19:00:00Z,BSA,EC Bahia,Botafogo FR,0,0,FINISHED,2024
2024-08-25T19:00:00Z,BSA,Criciúma EC,Grêmio FBPA,0,1,FINISHED,2024
2024-08-25T19:00:00Z,BSA,Fortaleza EC,SC Corinthians Paulista,1,0,FINISHED,2024
2024-08-25T21:30:00Z,BSA,São Paulo FC,EC Vitória,2,1,FINISHED,2024
2024-08-25T22:00:00Z,BSA,SC Internacional,Cruzeiro EC,1,0,FINISHED,2024
2024-08-25T23:00:00Z,BSA,CR Flamengo,RB Bragantino,2,1,FINISHED,2024
2024-08-27T00:00:00Z,BSA,CR Vasco da Gama,CA Paranaense,2,1,FINISHED,2024
2024-08-28T22:30:00Z,BSA,Criciúma EC,RB Bragantino,1,0,FINISHED,2024
2024-08-28T22:30:00Z,BSA,Cruzeiro EC,SC Internacional,0,0,FINISHED,2024
2024-08-31T21:30:00Z,BSA,Cuiabá EC,Criciúma EC,2,1,FINISHED,2024
2024-09-01T00:00:00Z,BSA,Botafogo FR,Fortaleza EC,2,0,FINISHED,2024
2024-09-01T14:00:00Z,BSA,Cruzeiro EC,AC Goianiense,3,1,FINISHED,2024
2024-09-01T14:00:00Z,BSA,Grêmio FBPA,CA Mineiro,2,3,FINISHED,2024
2024-09-01T19:00:00Z,BSA,SC Corinthians Paulista,CR Flamengo,2,1,FINISHED,2024
2024-09-01T21:30:00Z,BSA,CA Paranaense,SE Palmeiras,0,2,FINISHED,2024
2024-09-01T21:30:00Z,BSA,RB Bragantino,EC Bahia,2,1,FINISHED,2024
2024-09-01T21:30:00Z,BSA,Fluminense FC,São Paulo FC,2,0,FINISHED,2024
2024-09-01T21:30:00Z,BSA,EC Juventude,SC Internacional,1,3,FINISHED,2024
2024-09-01T21:30:00Z,BSA,EC Vitória,CR Vasco da Gama,0,1,FINISHED,2024
2024-09-05T23:00:00Z,BSA,Cuiabá EC,EC Juventude,0,0,FINISHED,2024
2024-09-11T22:30:00Z,BSA,SC Internacional,Fortaleza EC,2,1,FINISHED,2024
2024-09-14T19:00:00Z,BSA,AC Goianiense,EC Vitória,0,2,FINISHED,2024
2024-09-14T21:30:00Z,BSA,CA Paranaense,Fortaleza EC,1,1,FINISHED,2024
2024-09-15T00:00:00Z,BSA,Botafogo FR,SC Corinthians Paulista,2,1,FINISHED,2024
2024-09-15T19:00:00Z,BSA,RB Bragantino,Grêmio FBPA,2,2,FINISHED,2024
2024-09-15T19:00:00Z,BSA,EC Juventude,Fluminense FC,2,1,FINISHED,2024
2024-09-15T19:00:00Z,BSA,SE Palmeiras,Criciúma EC,5,0,FINISHED,2024
2024-09-15T21:30:00Z,BSA,EC Bahia,CA Mineiro,3,0,FINISHED,2024
2024-09-15T21:30:00Z,BSA,Cruzeiro EC,São Paulo FC,0,1,FINISHED,2024
2024-09-15T21:30:00Z,BSA,CR Flamengo,CR Vasco da Gama,1,1,FINISHED,2024
